	strain	gisaid_epi_isl	originating_lab	submitting_lab	author
2411	hCoV-19/Ukraine/F10-234/2021	EPI_ISL_2934575	SE Kyiv CDC MHU	The Institute of Molecular Biology and Genetics of NASU	M.Tukalo et al.
2412	hCoV-19/CzechRepublic/NRL_2341_21/2021	EPI_ISL_1261226	National Institute of Public Health	National Reference Laboratory for Influenza and Respiratory Viruses CZE	Helena Jirincova, Jaromira Vecerova, Timotej Suri, Dusan Trnka, Alexander Nagy
2413	hCoV-19/CentralAfricanRepublic/24439/2021	EPI_ISL_2281265	Insitut Pasteur Bangui	Institut Pasteur de Dakar	Marie-Astrid Vernet, Moussa Moïse Diagne, Benjamin Selekon, Ndongo Dia, Sandra Garba Ouangole, Safietou Sankhe, Christian Malaka, Amadou Diallo, Mamadou Diop, Ndack Ndiaye, Cheikh Loucoubar, Ousmane Faye, Amadou Alpha Sall, Rivalyn Nakoune Yandoko
2414	hCoV-19/Slovakia/UKBA-3518/2021	EPI_ISL_2801995	Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava	Faculty of Natural Sciences, Comenius University, Bratislava	Brona Brejova, Viktoria Cabanova, Kristina Borsova, Viktoria Hodorova, Sabina Fumacova Havlikova, Juraj Kopacek, Martina Lickova, Lubomira Lukacikova, Martina Nebohacova, Monika Slavikova, Tomas Vinar, Jozef Nosek, Boris Klempa
2415	hCoV-19/Ukraine/F1-3/2021	EPI_ISL_2934572	SE Kyiv CDC MHU	The Institute of Molecular Biology and Genetics of NASU	M.Tukalo et al.
2416	hCoV-19/Moldova/ICGEB_810376_S13/2021	EPI_ISL_3903716	Nicolae Testemitanu State University of Medicine and Pharmacy	International Centre for Genetic Engineering and Biotechnology (ICGEB) and ARGO Open Lab Platform for Genome Sequencing	Ulinici M, Licastro D, Dal Monego S, Orsini E, Groppa S, Todiras M, Paraschiv A, Buzurnii L, Marcello A
2417	hCoV-19/Slovenia/250972/2021	EPI_ISL_2492323	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Alen Suljič, Samo Zakotnik, Tomaž Mark Zorec, Matic Brvar, Doroteja Vlaj, Andraž Celar, Dominika Šturm, Patricija Pozvek, Špela Pleh, Miša Korva, Mario Poljak, Tatjana Avšič – Županc
2418	hCoV-19/Croatia/6256/2021	EPI_ISL_2693509	Nastavni zavod za javno zdravstvo Primorsko- Goranske Županije	Hrvatski zavod za javno zdravstvo	Irena Tabain, Ivana Ferenčak
2419	hCoV-19/CzechRepublic/UMTM217575/2021	EPI_ISL_2346375	Institute of Molecular and Translational Medicine / Laboratory of Experimental Medicine, Faculty of Medicine and Dentistry, Palacky University and University Hospital Olomouc	Institute of Molecular and Translational Medicine / Laboratory of Experimental Medicine, Faculty of Medicine and Dentistry, Palacky University	Rastislav Slavkovský, Hana Jaworek, Vladimíra Koudeláková, Barbora Blumová, Marián Hajdúch
2420	hCoV-19/Slovakia/UKBA-3667/2021	EPI_ISL_2894471	Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava	Faculty of Natural Sciences, Comenius University, Bratislava	Viktoria Cabanova, Kristina Borsova, Brona Brejova, Viktoria Hodorova, Sabina Fumacova Havlikova, Juraj Kopacek, Martina Lickova, Lubomira Lukacikova, Martina Nebohacova, Monika Slavikova, Tomas Vinar, Jozef Nosek, Boris Klempa
2421	hCoV-19/Slovakia/UVZ_PL25_C3_14010/2021	EPI_ISL_3100308	Public Health Authority of the Slovak Republic	Laboratory of Genomics and Bioinformatics, Comenius University Science Park	Tatiana Sedláčková, Diana Rusňáková, Miroslav Böhmer, Anna Gičová, Jaroslav Budiš, Tomáš Szemes, Jakub Styk
2422	hCoV-19/Andorra/AND-235_2118213847_GC/2021	EPI_ISL_3384893	Laboratori d'anàlisis clíniques, Hospital Nostra Senyora de Meritxell	LBM de CHU de Toulouse, Hôpitaux de Toulouse	M,Rendon et Al
2423	hCoV-19/Slovakia/CeMM4287/2021	EPI_ISL_1495200	Public Health Authority of the Slovak Republic	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler, Anna Schedl, Fabian Amman, Petr Triska, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler
2424	hCoV-19/CzechRepublic/NRL_9030/2021	EPI_ISL_2727019	National Institute of Public Health	National Institute of Public Health	Helena Jirincova, Jaromira Vecerova, Timotej Suri, Dusan Trnka, Alexander Nagy
2425	hCoV-19/CzechRepublic/UKDD-MUNL-U133140/2021	EPI_ISL_2878058	Oddělení klinické mikrobiologie	Institute of Medical Microbiology and Virology, University Hospital Carl Gustav Carus, TU Dresden	Marlena Stadtmüller, Alexa Laubner, Johanna Beil, Fabian Rost, Sylvia Klemroth, Grit Mehnert, Montserrat Palau de Miquel, Susanne Reinhardt, Leo Büttner, Anett Zabzinski, Sylke Winkler, Alexander Dalpke, Lenka Šimůnková, Lenka Dvořáková
2426	hCoV-19/Switzerland/SO-ETHZ-660005/2021	EPI_ISL_2611079	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel, Sarah Nadeau, Chaoran Chen, Ivan Topolsky, Kim Philipp Jablonski, Lara Fuhrmann, Rebecca Denes, Mirjam Feldkamp, Ina Nissen, Natascha Santacroce, Elodie Burcklen, Christiane Beckmann, Maurice Redondo, Olivier Kobel, Christoph Noppen, Niko Beerenwinkel, Tanja Stadler
2427	hCoV-19/Estonia/RC0014405/2021	EPI_ISL_3665850	Synlab Eesti OÜ	1. Laboratory of Communicable Diseases (Estonia); 2. Eurofins Genomics Europe Sequencing GmbH	Liidia Dotsenko et al.
2428	hCoV-19/Denmark/DCGC-108413/2021	EPI_ISL_2416828	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium
2429	hCoV-19/Ukraine/HZ2-59758/2021	EPI_ISL_2934570	SECP MHU	The Institute of Molecular Biology and Genetics of NASU	M.Tukalo et al.
2430	hCoV-19/CzechRepublic/NRL_9231/2021	EPI_ISL_3152843	National Institute of Public Health	State Veterinary Institute Prague	Alexander Nagy, Lenka Cernikova, Martina Stara, Jaromira Vecerova, Timotej Suri, Helena Jirincova
2431	hCoV-19/Georgia/Tb-SNGS115/2021	EPI_ISL_3098452	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Giorgi Gogoladze, Giorgi Tomashvili, Meri Pantsulaia, Gvantsa Brachveli, Nino Berishvili, Tata Imnadze, Ana Papkiauri, Gvantsa Chanturia, Ann Machablishvili, Nato Kotaria, Marine Murtskhvaladze, Lela Sabadze, Mari Gavashelidze, Tamar Jashiashvili, Tea Tevdoradze, Ketevan Sidamonidze, Ekaterine Khmaladze, Ekaterine Zhghenti, Roena Sukhiashvili, Mariam Zakalashvili, Lela Urushadze, Magda Dgebuadze, Davit Tsaguria, Ekaterine Zangaladze, Adam Kotorashvili, Maia Alkhazashvili, Irma Burjanadze, Anna Kasradze, Khatuna Zakhashvili, Paata Imnadze, Amiran Gamkrelidze.
2432	hCoV-19/Australia/VIC18318/2021	EPI_ISL_2839571	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	MDU-PHL	Seemann T., Sait, M.L., Sherry, N.L.
2433	hCoV-19/Slovakia/UVZ_PL17_B7_11348/2021	EPI_ISL_2598541	Public Health Authority of the Slovak Republic	Laboratory of Genomics and Bioinformatics, Comenius University Science Park	Tatiana Sedláčková, Diana Rusňáková, Miroslav Böhmer, Anna Gičová, Jaroslav Budiš, Tomáš Szemes, Jakub Styk
2434	hCoV-19/BosniaandHerzegovina/KCUS73787/2021	EPI_ISL_2938115	Dr. Irfan Ljubijankic Cantonal Hospital Bihać, Laboratory for Microbiology	Clinical Center, University of Sarajevo; Unit for Clinical Microbiology	Irma Salimović-Bešić, Amela Dedeić-Ljubović, Edina Zahirović, Sandra Vegar-Zubović, Sebija Izetbegović
2435	hCoV-19/Sweden/01_SE100_21CS503578/2021	EPI_ISL_2898620	Unilabs	Karolinska University Hospital	Jan Albert ,Tobias Allander ,Annelie Bjerkner ,Sandra Broddesson ,Robert Dyrdak ,Martin Ekman ,Lynda Eneh ,Lina Guerra Blomqvist ,Karolina Ininbergs ,Tanja Normark ,Isak Sylvin ,Zhibing Yun ,Martina Wahlund ,Valtteri Wirta
2436	hCoV-19/Iran/Kerman-NIC-K2/2021	EPI_ISL_2360251	Afzalipoor Hospital	National Influenza Center	NZ Shafiei Jandaghi, V Salimi, A Nejati, K Sadeghi, J Yavarian, N Ghavvami,F Ajaminejad and T Mokhtari Azad
2437	hCoV-19/Iran/GRC-Ahv-12-123/2021	EPI_ISL_2547429	Department of Medical Virology, School of Medicine Ahvaz Jundishapur University of Medical sciences	Genetics Research Center, University of Social Welfare and Rehabilitation Sciences	Zohreh Fattahi, Marzieh Mohseni, Maryam Beheshtian, Kimia Kahrizi, Azarakhsh Azaran, Farid yousefi, Mohsen Savaie, Mohammad Farahmand, Ahmad Tavakoli, Seyed Mohammad Jazayeri, Hossein Najmabadi.
2438	hCoV-19/BosniaandHerzegovina/VFS-UNSA-LMGFI024/2020	EPI_ISL_1016690	University of Sarajevo, Veterinary Faculty, Laboratory for Molecular Diagnostic and Research Laboratory	University of Sarajevo, Veterinary Faculty, Laboratory for Molecular Diagnostic and Research Laboratory	Goletic T., Goletic S., Softic A., Alic-Seho A., Sabic E., Terzic I., Jazic A., Nicevic M., Hodzic A.
2439	hCoV-19/Kazakhstan/PAV-NRL-537S/2021	EPI_ISL_2438623	Pavlodar regional hospital named after G. Sultanov	Reference laboratory for the control of viral infections	Nazym Tleumbetova, Madina Tleubergenova, Aknur Mutaliyeva, Aidar Usserbayev, Artem Fadeev, Maria Pisareva, Azamat Kenessov, Bekzhan Maikotov, Andrey Komissarov, Gaukhar Nussupbayeva
2440	hCoV-19/Kazakhstan/ALM-NRL-510S/2021	EPI_ISL_2438618	Karasai Central District Hospital	Reference laboratory for the control of viral infections	Nazym Tleumbetova, Madina Tleubergenova, Aknur Mutaliyeva, Aidar Usserbayev, Artem Fadeev, Maria Pisareva, Azamat Kenessov, Bekzhan Maikotov, Andrey Komissarov, Gaukhar Nussupbayeva
2441	hCoV-19/NewZealand/21CH0035/2021	EPI_ISL_2811953	Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Paula scholes, Susan Lin, Xiaoyun Ren, Matt Storey, Nikki Freed, Muhammad Faisal, Jing Wang, Hermes Perez, Anja Werno, Antje van der Linden, Arlo Upton, Chris Mansell, David Hammer, Dragana Drinkovic, Gary McAuliffe, Hana Sofia Andersson, James Ussher, Jill Sherwood, Josh Freeman, Julia Howard, Juliet Elvy, Mary DeAlmeida, Matt Blakiston, Matthew Rogers, Max Bloomfield, Michael Addidle, Michelle Balm, Sally Roberts, Sarah Jefferies, Sharmini Muttaiyah, Susan Morpeth, Susan Taylor, Timothy Blackmore, Vani Sathyendran, Veronica Playle, Virginia Hope, Erasmus Smit, Lauren Jelly, Olin Silander, Joep de Ligt
2442	hCoV-19/Philippines/PH-PGC-46021/2021	EPI_ISL_2859238	Philippine General Hospital (PGH)	Philippine Genome Center	Francis A. Tablizo, Kenneth M. Kim, Maria Sofia L. Yangzon, Elcid Aaron R. Pangilinan, Renato Jacinto Q. Mantaring, Benedict A. Maralit, Marc Edsel C. Ayes, Eva Maria Cutiongco-de la Paz, Alethea R. de Guzman, Jan Michael C. Yap, Jo-Hannah S. Llames, Sheila Mae M. Araiza, Kris P. Punayan, Karol Sophia Agape R. Padilla, Lindsay Claire D.L. Carandang, Jarvin E. Nipales, Zipporah Mariebelle R. Enriquez, Diomedes A. Carino, Yvonne Valerie Austria, Nina Francesca Bustamante, Marielle M Gamboa, Zyrel V. Mollejon, Krisitna Patriz Dela Cruz, Ma. Exanil Plantig, Rianna Patricia S. Cruz, Carlo M. Lapid, El King D. Morado, Joshua Gregor A. Dizon, Razel Nikka M. Hao, Arianne A. Zamora, Devon Ray Pacial, Juan Antonio R. Magalang, Henrietta Marie Rodriguez, Marissa Alejandria, Celia Carlos, Anna Ong-Lim, Edsel Maurice Salvaña, John Q. Wong, Jaime C. Montoya, Maria Rosario Singh-Vergeire and Cynthia P. Saloma
2443	hCoV-19/Philippines/PH-PGC-44877/2021	EPI_ISL_2859254	Cotabato Regional and Medical Center	Philippine Genome Center	Francis A. Tablizo, Kenneth M. Kim, Maria Sofia L. Yangzon, Elcid Aaron R. Pangilinan, Renato Jacinto Q. Mantaring, Benedict A. Maralit, Marc Edsel C. Ayes, Eva Maria Cutiongco-de la Paz, Alethea R. de Guzman, Jan Michael C. Yap, Jo-Hannah S. Llames, Sheila Mae M. Araiza, Kris P. Punayan, Karol Sophia Agape R. Padilla, Lindsay Claire D.L. Carandang, Jarvin E. Nipales, Zipporah Mariebelle R. Enriquez, Diomedes A. Carino, Yvonne Valerie Austria, Nina Francesca Bustamante, Marielle M Gamboa, Zyrel V. Mollejon, Krisitna Patriz Dela Cruz, Ma. Exanil Plantig, Rianna Patricia S. Cruz, Carlo M. Lapid, El King D. Morado, Joshua Gregor A. Dizon, Razel Nikka M. Hao, Arianne A. Zamora, Devon Ray Pacial, Juan Antonio R. Magalang, Henrietta Marie Rodriguez, Marissa Alejandria, Celia Carlos, Anna Ong-Lim, Edsel Maurice Salvaña, John Q. Wong, Jaime C. Montoya, Maria Rosario Singh-Vergeire and Cynthia P. Saloma
2444	hCoV-19/Japan/IC-1279/2021	EPI_ISL_2253120	SARS-CoV-2 testing team, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Nozomu Hanaoka, Masumichi Saito, Naomi Nojiri, Hazuka Y Furihata, Sana Uchikoba, Tsuguto Fujimoto, Makoto Kuroda
2445	hCoV-19/Singapore/1503/2021	EPI_ISL_2621920	National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak, Zhenyang Zhou, Royce Ang, Lin Cui, Raymond Tzer Pin Lin
2446	hCoV-19/Cambodia/01-2106281820/2021	EPI_ISL_3031477	Banteay Meanchey Regional Laboratory	Virology Unit, Institut Pasteur du Cambodge	Leakhena Pum, Sophoannadedh Rath, Cecile Troupin, Ly Sovann, Kraing Sidonn, Yi Sengdoeurn, Chin Savuth, Chau Darapheak, Veasna Duong, Erik A Karlsson
2447	hCoV-19/Cambodia/401631/2021	EPI_ISL_1711990	Virology Unit, Institut Pasteur du Cambodge	Virology Unit, Institut Pasteur du Cambodge	Jurre Y Siegers, Teyputita Ou, Leakhena Pum, Cecile Troupin, Ly Sovann, Kraing Sidonn, Yi Sengdoeurn, Chin Savuth, Chau Darapheak, Veasna Duong, Erik A Karlsson
2448	hCoV-19/Cambodia/286828/2021	EPI_ISL_1532808	Virology Unit, Institut Pasteur du Cambodge	Virology Unit, Institut Pasteur du Cambodge	Sokhoun Yann, Teyputita Ou, Leakhena Pum, Ly Sovann, Kraing Sidonn, Yi Sengdoeurn, Chin Savuth, Chau Darapheak, Veasna Duong, Erik A Karlsson
2449	hCoV-19/Cambodia/527496/2021	EPI_ISL_2406479	Virology Unit, Institut Pasteur du Cambodge	Virology Unit, Institut Pasteur du Cambodge	Cecile Troupin, Leakhena Pum, Jurre Y Siegers, Ly Sovann, Kraing Sidonn, Yi Sengdoeurn, Chin Savuth, Chau Darapheak, Veasna Duong, Erik A Karlsson
2450	hCoV-19/Cambodia/662173/2021	EPI_ISL_3188250	Virology Unit, Institut Pasteur du Cambodge	Virology Unit, Institut Pasteur du Cambodge	Leakhena Pum, Sophoannadedh Rath, Jurre Y Siegers, Cecile Troupin, Ly Sovann, Kraing Sidonn, Yi Sengdoeurn, Chin Savuth, Chau Darapheak, Veasna Duong, Erik A Karlsson
2451	hCoV-19/Cambodia/738148/2021	EPI_ISL_3797883	Virology Unit, Institut Pasteur du Cambodge	Virology Unit, Institut Pasteur du Cambodge	Leakhena Pum, Sophoannadedh Rath, Jurre Y Siegers, Cecile Troupin, Ly Sovann, Kraing Sidonn, Yi Sengdoeurn, Chin Savuth, Chau Darapheak, Veasna Duong, Erik A Karlsson
2452	hCoV-19/Cambodia/659376/2021	EPI_ISL_3188240	Virology Unit, Institut Pasteur du Cambodge	Virology Unit, Institut Pasteur du Cambodge	Leakhena Pum, Sophoannadedh Rath, Jurre Y Siegers, Cecile Troupin, Ly Sovann, Kraing Sidonn, Yi Sengdoeurn, Chin Savuth, Chau Darapheak, Veasna Duong, Erik A Karlsson
2453	hCoV-19/Cambodia/513097/2021	EPI_ISL_2343247	Virology Unit, Institut Pasteur du Cambodge	Virology Unit, Institut Pasteur du Cambodge	Jurre Y Siegers, Cecile Troupin, Leakhena Pum, Ly Sovann, Kraing Sidonn, Yi Sengdoeurn, Chin Savuth, Chau Darapheak, Veasna Duong, Erik A Karlsson
2454	hCoV-19/Cambodia/02-2106090317/2021	EPI_ISL_2693910	Virology Unit, Institut Pasteur du Cambodge	Virology Unit, Institut Pasteur du Cambodge	Cecile Troupin, Leakhena Pum, Jurre Y Siegers, Ly Sovann, Kraing Sidonn, Yi Sengdoeurn, Chin Savuth, Chau Darapheak, Veasna Duong, Erik A Karlsson
2455	hCoV-19/Cambodia/613654/2021	EPI_ISL_3031533	Virology Unit, Institut Pasteur du Cambodge	Virology Unit, Institut Pasteur du Cambodge	Leakhena Pum, Sophoannadedh Rath, Cecile Troupin, Ly Sovann, Kraing Sidonn, Yi Sengdoeurn, Chin Savuth, Chau Darapheak, Veasna Duong, Erik A Karlsson
2456	hCoV-19/Cambodia/743334/2021	EPI_ISL_3797893	Virology Unit, Institut Pasteur du Cambodge	Virology Unit, Institut Pasteur du Cambodge	Leakhena Pum, Sophoannadedh Rath, Jurre Y Siegers, Cecile Troupin, Ly Sovann, Kraing Sidonn, Yi Sengdoeurn, Chin Savuth, Chau Darapheak, Veasna Duong, Erik A Karlsson
2457	hCoV-19/Thailand/DMSc-01177/2021	EPI_ISL_3826593	Regional Medical Sciences Center 2 Phitsanulok	Division of Genomic Medicine and Innovation support,Department of Medical Sciences, Ministry of Public Health, Thailand	Surakameth Mahasirimongkol,Nuanjun Wichukchinda,Archawin Rojanawiwat,Pilailuk Akkapaiboon Okada ,Waritta Sawaengdee,Penpitcha Thawong,Pundharika Piboonsiri,Jirapha Pakdee,Natthakul Bunneang
2458	hCoV-19/Thailand/ChonBuri-CONI-0635/2021	EPI_ISL_1491572	Division of Epidemiology	COVID-19 Network Investigations (CONI) Alliance	Elizabeth Batty, Wasun Chantratita, Thanat Chookajorn, Stefan Fernandez, Angkana Huang, Anthony R. Jones, Khajohn Joonlasak, Chonticha Klungtong, Theerarat Kochakarn, Namfon Kotanan, Krittikorn Kumpornsin, Duangkamon Loesbanluechai, Wudtichai Manasatienkij, Bhakbhoom Panthan, Ekawat Pasomsub, Kingkan Rakmanee, Insee Sensorn, Janjira Thaipadungpanit, Arporn Wangwiwatsin, Treewat Watthanachockchai, Kawinna Kerdsalung, Prangsiri Nalaem, Pantila Taweewigyakarn, Arthicha Wongkumma
2459	hCoV-19/Thailand/Bangkok-CONI-0842/2021	EPI_ISL_2802843	Ramathibodi Hospital	COVID-19 Network Investigations (CONI) Alliance	Elizabeth Batty, Wasun Chantratita, Thanat Chookajorn, Stefan Fernandez, Angkana Huang, Anthony R. Jones, Khajohn Joonlasak, Chonticha Klungtong, Theerarat Kochakarn, Namfon Kotanan, Krittikorn Kumpornsin, Duangkamon Loesbanluechai, Wudtichai Manasatienkij, Bhakbhoom Panthan, Ekawat Pasomsub, Kingkan Rakmanee, Insee Sensorn, Janjira Thaipadungpanit, Arporn Wangwiwatsin, Treewat Watthanachockchai
2460	hCoV-19/Thailand/DMSc-00053/2021	EPI_ISL_2350961	Mongkutwattana General Hospital	Division of Genomic Medicine and Innovation support,Department of Medical Sciences, Ministry of Public Health, Thailand	Surakameth Mahasirimongkol,Nuanjun Wichukchinda,Archawin Rojanawiwat,Pilailuk Akkapaiboon Okada ,Waritta Sawaengdee,Penpitcha Thawong,Pundharika Piboonsiri,Jirapha Pakdee,Natthakul Bunneang
2461	hCoV-19/Thailand/SamutPrakan-CONI-0797/2021	EPI_ISL_2678109	Ramathibodi Chakri Naruebodindra Hospital	COVID-19 Network Investigations (CONI) Alliance	Elizabeth Batty, Wasun Chantratita, Thanat Chookajorn, Stefan Fernandez, Angkana Huang, Anthony R. Jones, Khajohn Joonlasak, Chonticha Klungtong, Theerarat Kochakarn, Namfon Kotanan, Krittikorn Kumpornsin, Duangkamon Loesbanluechai, Wudtichai Manasatienkij, Bhakbhoom Panthan, Ekawat Pasomsub, Kingkan Rakmanee, Insee Sensorn, Janjira Thaipadungpanit, Arporn Wangwiwatsin, Treewat Watthanachockchai
2462	hCoV-19/Thailand/DMSc-01128/2021	EPI_ISL_3826798	Regional Medical Sciences Center 6 Chonburi	Division of Genomic Medicine and Innovation support,Department of Medical Sciences, Ministry of Public Health, Thailand	Surakameth Mahasirimongkol,Nuanjun Wichukchinda,Archawin Rojanawiwat,Pilailuk Akkapaiboon Okada ,Waritta Sawaengdee,Penpitcha Thawong,Pundharika Piboonsiri,Jirapha Pakdee,Natthakul Bunneang
2463	hCoV-19/BosniaandHerzegovina/BM10602/2021	EPI_ISL_2709213	Poliklinika Muminovic	Alea Genetic Centre	Dino Pecar,Ivana Ceko, Lana Salihefendic, Naida Mulahusejinovic, Selma Durgut, Rijad Konjhodzic
2464	hCoV-19/Georgia/Tb-SNGS057/2021	EPI_ISL_1914603	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Gvantsa Brachveli, Meri Pantsulaia, Giorgi Tomashvili, Giorgi Gogoladze, Nino Berishvili, Tata Imnadze, Ana Papkiauri, Gvantsa Chanturia, Ann Machablishvili, Nato Kotaria, Marine Murtskhvaladze, Lela Sabadze, Mari Gavashelidze, Tamar Jashiashvili, Tea Tevdoradze, Ketevan Sidamonidze, Ekaterine Khmaladze, Ekaterine Zhghenti, Roena Sukhiashvili, Mariam Zakalashvili, Lela Urushadze, Magda Dgebuadze, Davit Tsaguria, Ekaterine Zangaladze, Adam Kotorashvili, Maia Alkhazashvili, Irma Burjanadze, Anna Kasradze, Khatuna Zakhashvili, Paata Imnadze, Amiran Gamkrelidze.
2465	hCoV-19/Georgia/Tb-SNGS355/2021	EPI_ISL_3076933	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Giorgi Tomashvili, Meri Pantsulaia, Gvantsa Brachveli, Giorgi Gogoladze, Nino Berishvili, Tata Imnadze, Ana Papkiauri, Gvantsa Chanturia, Ann Machablishvili, Nato Kotaria, Marine Murtskhvaladze, Lela Sabadze, Mari Gavashelidze, Tamar Jashiashvili, Tea Tevdoradze, Ketevan Sidamonidze, Ekaterine Khmaladze, Ekaterine Zhghenti, Roena Sukhiashvili, Mariam Zakalashvili, Lela Urushadze, Magda Dgebuadze, Davit Tsaguria, Ekaterine Zangaladze, Adam Kotorashvili, Maia Alkhazashvili, Irma Burjanadze, Anna Kasradze, Khatuna Zakhashvili, Paata Imnadze, Amiran Gamkrelidze.
2466	hCoV-19/Germany/NI-RKI-I-155658/2021	EPI_ISL_2266170	amedes Göttingen	Robert Koch Institute	unknown
2467	hCoV-19/Portugal/PT3740/2021	EPI_ISL_1116947	CHU Sao Joao, Porto	Instituto Nacional de Saude (INSA) and Instituto Gulbenkian de Ciencia (IGC)	Borges et al
2468	hCoV-19/Denmark/DCGC-117685/2021	EPI_ISL_2670377	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium
2469	hCoV-19/Denmark/DCGC-106065/2021	EPI_ISL_2679942	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium
2470	hCoV-19/Switzerland/GE-DIA-011420084501/2021	EPI_ISL_3007647	Dianalabs SA	Genesupport	Tanguy ARAUD, Geraldine Jost, Katia Jaton, Nadia Liassine
2471	hCoV-19/Switzerland/GE-HUG-34737254/2021	EPI_ISL_3048333	University Hospitals of Geneva, Laboratory of Virology	HUG, Laboratory of Virology and the Health2030 Genome Center	Samuel Cordey, Ana Rita Goncalves, Laurent Kaiser, Lorenzo Cerutti, Henri Pegeot, Melyssa Elies, Deborah Penet, Keith Harshman, Ioannis Xenarios, Emmanouil Dermitzakis
2472	hCoV-19/Ukraine/Kyiv/F2-6/2021	EPI_ISL_2966511	SE Kyiv CDC MHU	The Institute of Molecular Biology and Genetics of NASU	M.Tukalo et al.
2473	hCoV-19/Oman/5219580/2021	EPI_ISL_2925623	Oman-NIC	Oman-National Influenza Center	Laila Al Balushi, Aisha Al-Busaidi, Samiha Al Kharusi, Amina Al Jardani, Hanan Al Kindi, Intisar Al-Shukri, Fahad Al Balushi, Bilal Hussain.
2474	hCoV-19/Cyprus/Cy167425/2021	EPI_ISL_1164751	Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Jan Richter, Pavlos Fanis, Christina Tryfonos, Dana Koptides, George Krashias, Stavros Bashiardes, Andreas Hadjisavvas, Maria Loizidou, Anastasis Oulas, Denise Alexandrou, Olga Kalakouta, Mihalis Panayiotidis, George Spyrou, Christina Christodoulou
2475	hCoV-19/Libya/EMC-11/2021	EPI_ISL_2860646	Public Health Reference Laboratory	Erasmus Medical Center	Omar Elahmer-Abdulla Bashein- Rahma Algheriani-Ahlam Alarif, Bas Oude Munnink, Reina Sikkema, David Nieuwenhuijse, Irina Chestakova, Anne van der Linden, Marjan Boter, Emmanuelle Munger, Corine GeurtsvanKessel, Annemiek van der Eijk, Richard Molenkamp, Marion Koopmans, on behalf of the Dutch national COVID-19 response team.
2476	hCoV-19/Sweden/SE1410390838/2021	EPI_ISL_2412121	Swedish national genomic surveillance program of SARS-CoV-2	The Public Health Agency of Sweden	Maximilian Riess, Maria Lind Karlberg, Alma Brolund, Swedish national genomic surveillance program of SARS-CoV-2
2477	hCoV-19/RepublicoftheCongo/RC-009/2021	EPI_ISL_2978194	Laboratoire National de Santé Publique, Brazzaville, République du Congo	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni, Fabien Roch Niama, Edith Nkwembe, Eddy Kinganda-Lusamaki, Amuri Aziza, Francisca Muyembe Mawete, Emmanuel Lokilo Lofiko, Jean Claude Makangara, Raphael Lumembe, Gabriel Kabamba, Catherine Pratt, Matthias Pauthner, Josh Quick, Trevor Bedford, Ian Goodfellow, Andrew Rambaut, Nick Loman, Michael Wiley, Steve Ahuka-Mundeke, Jean-Jacques Muyembe Tamfum
